#,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,tipman_tipman_id,competition_competition_id,overall_coefficient,rank,new_coefficient
52,141,478,284,234.0930545611104,323,5,154,164,14,2441,998,102.78346034138264,63,120.98265355851531
53,6,27,154,184.92712544870585,20,2,9,9,1,1835,79,13.192125448705838,107,2.0141772151898736
54,2,18,249,258.8823706250953,16,1,6,9,0,1832,29277,10.83936063936064,73,7.515384615384615
55,24,54,145,124.0798304679114,30,0,18,12,0,1835,382,11.543917790373285,108,19.48343486790032
56,1,1,0,0,0,0,0,0,0,5882,1351,0,1000,0
57,7,23,235,258.8008709626536,15,0,6,9,1,1832,79,10.742860976918948,79,2.4154320987654323
58,0,0,0,0,0,0,0,0,0,1848,914,0,1000,0
59,5,20,240,257.85836145965754,15,0,6,9,0,1835,80,9.815351473922902,77,3.549886621315193
60,0,0,0,0,0,0,0,0,0,2463,1355,0,,0
61,2,5,41,43.309726088005796,3,0,3,0,0,1835,20996,0.6774193548387097,155,0
62,2,5,697,695.6969801980198,3,0,0,3,0,1972,952,0.54,14,1.08
63,0,0,0,0,0,0,0,0,0,1972,1356,0,,0
64,7,25,60,55.769903769000656,14,0,11,3,4,1972,1351,2.274429164504411,138,3.8414240755310782
65,0,0,0,0,0,0,0,0,0,1842,1354,0,,0
66,0,0,0,0,0,0,0,0,0,1838,1357,0,,0
67,0,0,0,0,0,0,0,0,0,2450,1356,0,,0
68,0,0,0,0,0,0,0,0,0,2450,1357,0,,0
69,4,7,41,43.30897339983375,3,0,3,0,0,2149,29279,0.6666666666666667,156,0
70,0,0,0,0,0,0,0,0,0,1845,878,0,1000,0
71,0,0,0,0,0,0,0,0,0,2439,1354,0,,0
72,3,3,0,0,0,0,0,0,0,2501,79,0,1000,0
73,2,5,43,43.281429540184625,3,0,3,0,0,1832,2937,0.6491228070175439,148,0.6491228070175439
74,0,3,697,695.8469801980199,3,0,0,3,0,3160,1356,0.7,15,1.4
75,206,1162,673,259.5784816106616,946,38,475,433,10,1845,1979,278.94933369360103,19,429.3943205879701
76,0,0,0,0,0,0,0,0,0,1972,1355,0,,0
77,25,97,57,53.90687256131177,72,0,54,18,0,2001,276,17.42650444642356,141,18.668134941630285
78,0,0,0,0,0,0,0,0,0,2460,1357,0,,0
79,32,94,127,56.681446848057035,62,2,45,15,0,1853,1318,15.697076059098109,116,41.32992604031432
80,5,17,167,178.01024390243904,12,0,6,6,0,2155,1351,5.205243902439024,100,1.5304878048780488
81,163,526,310,109.87021475634259,358,1,225,132,5,1832,751,99.97030280554397,55,172.8503561511927
82,0,0,0,0,0,0,0,0,0,2439,1355,0,,0
83,4,4,0,0,0,0,0,0,0,3107,80,0,1000,0
84,21,27,1235,1217.2289603960396,6,0,0,6,0,2149,1109,1.83,6,8.49
85,4,6,0,0,0,0,0,0,2,1960,1351,0,1000,0
86,7,36,38,48.76631233908856,29,0,23,6,0,2013,79,8.103017878447165,159,4.265640975704757
87,72,298,434,307.4596672484384,226,7,90,129,0,1972,1948,85.81790810109197,34,131.83325347285012
88,39,150,133,97.83975546119323,111,0,72,39,0,2155,1195,32.17850905659115,113,45.11732780189431
89,1,4,41,43.293973399833746,3,0,3,0,0,2013,1354,0.6666666666666667,157,0
90,156,734,799,270.654167558812,578,19,263,296,0,1972,914,166.22999612591175,10,358.67766713740644
91,146,585,472,217.12046713870484,423,5,217,201,16,1832,1110,136.20891468698244,30,229.17835340295895
92,87,279,187,150.3886704944833,187,7,105,75,5,1838,2377,66.64730034072421,91,80.30299647181484
93,0,3,41,43.34452895538931,3,0,3,0,0,2013,20997,0.7222222222222222,158,0
94,60,118,219,104.6094915439748,58,1,36,21,0,1853,1319,15.266268090854014,84,56.873128072169756
95,174,691,220,198.9667243397368,510,6,295,209,7,2001,131,192.85460126957025,83,200.72307230532002
96,8,44,189,179.1475487634593,36,0,18,18,0,2155,1174,10.767548763459292,89,14.406371275783039
97,25,64,201,111.27170293005071,39,0,24,15,0,2439,997,9.036513006020302,88,41.739301070908326
98,8,19,22,23.468199224874226,6,0,6,0,5,2149,1351,1.0992191963435536,164,0.8764044943820224
99,226,366,222,111.34126754378082,112,5,66,41,28,2149,1088,27.580030414994074,82,67.85691262747694
100,28,70,166,133.09175071554526,42,0,24,18,0,2439,2932,9.50495743285832,101,21.754871032742216
101,43,76,492,448.0680713726242,33,0,9,24,0,2149,997,12.220309134861916,29,28.451099553146275
102,11,17,171,176.6768652849741,6,0,3,3,0,1960,2937,2.731865284974093,97,0.9637305699481864
103,64,315,504,153.65489258017075,248,3,141,104,3,1853,1263,80.29527318717025,26,208.03027486477734
104,0,0,0,0,0,0,0,0,0,2439,1356,0,,0
105,0,0,0,0,0,0,0,0,0,1842,1355,0,,0
106,285,1080,499,125.38626139814586,792,5,511,276,3,2001,1975,245.2869582595353,28,381.4884858830411
107,7,31,108,114.10955054278173,24,0,15,9,0,2439,1360,10.898560536535648,124,9.014049903082832
108,9,24,562,575.6978757188662,15,0,3,12,0,1972,2937,7.959795918367348,24,3.0093877551020407
109,11,43,58,69.9837450136597,32,0,23,9,0,2001,79,7.089561340190318,140,2.773792083080604
110,2,10,115,115.54437647211356,8,0,5,3,0,2439,79,0.8506493506493507,122,0.8506493506493507
111,191,319,244,155.16772804975227,110,3,59,48,18,2149,1244,34.25071505191857,75,66.73747547092077
112,0,0,0,0,0,0,0,0,0,1835,1354,0,,0
113,16,100,143,110.53363034073735,84,0,51,33,0,2013,2105,16.95890624921649,110,28.8961134227926
114,6,24,737,704.8529042148726,18,0,3,15,0,1832,2935,5.862131147540984,11,17.740000000000002
115,7,16,312,306.6280555856735,9,0,3,6,0,2441,1360,1.4353623188405797,53,3.5200000000000005
116,173,660,423,176.05388353707292,487,3,277,207,0,1960,1934,154.74704673264142,36,244.8830696850285
117,21,90,253,165.12803317495167,69,0,36,33,0,2441,997,17.873388484327496,72,49.83811052676924
118,83,177,212,178.79206085522628,94,1,48,45,0,2441,1225,32.17916042674227,85,44.315545334774264
119,10,48,112,115.92494100395776,38,0,23,15,0,2460,2937,8.61397890483239,123,7.257377737773776
120,69,288,206,147.85329727399443,214,1,120,93,5,2439,791,59.01965707896924,87,80.2922188171812
121,4,16,419,446.66252939080874,12,0,3,9,0,2463,1351,10.217142857142857,37,0.45999999999999996
122,9,38,144,152.79930370977505,24,0,13,11,5,2439,1351,7.751459312915659,109,4.849402299756193
123,214,594,142,146.97780262321567,371,1,226,144,9,1960,445,127.11087693712254,111,125.50248070687319
124,8,17,306,307.30286568062604,9,0,3,6,0,1960,80,2.1051724137931034,57,1.7503448275862068
125,62,201,240,188.43874493170486,139,1,69,69,0,2155,1153,38.64374493170488,78,57.6892316298526
126,3,6,42,42.817634602019545,3,0,3,0,0,2463,79,0.180327868852459,150,0
127,136,536,412,189.45885482881332,400,9,198,193,0,2460,692,91.87561881052277,39,173.06307093782962
128,8,25,16,6.432078928970268,16,1,15,0,1,2463,566,2.6071039133550284,168,6.152818255714823
129,87,342,427,242.17198007593225,251,3,111,137,4,2439,953,64.13060698424403,35,131.61680999010164
130,3,11,29,23.429990129540773,6,0,6,0,2,2001,1351,1.101010101010101,160,3.3030303030303028
131,193,698,639,203.16808474103522,488,10,227,251,17,2460,711,89.77784001492672,20,248.49673056868141
132,40,82,386,438.1430211900916,42,0,12,30,0,2149,2932,23.191576147816345,42,4.580000000000001
133,161,805,261,234.4129823423162,641,4,359,278,3,2013,404,240.0518886226973,69,249.95050552862122
134,192,687,303,182.50613020435398,489,2,269,218,6,2013,383,144.93546152541617,58,188.89153612304634
135,5,23,241,233.01413002139293,12,0,5,7,6,2013,1351,1.3428571428571427,76,4.498289241622576
136,6,12,24,23.50119530173673,6,0,6,0,0,2463,2937,1.1672152732060566,162,1.4693877551020407
137,3,6,701,696.2119801980198,3,0,0,3,0,2460,80,1.0499999999999998,13,3.1499999999999995
138,3,6,42,42.95237522631777,3,0,3,0,0,1845,2937,0.31506849315068497,151,0.31506849315068497
139,8,9,0,0,1,1,0,0,0,2062,641,0,1000,0
140,9,22,2080,2087.8205940594057,12,1,0,11,1,2450,79,5.550000000000001,4,2.9000000000000004
141,7,19,2285,2261.082920792079,12,0,0,12,0,2013,2937,5.46,2,14.479999999999999
142,18,54,287,248.12114057116176,36,0,15,21,0,1960,506,12.30713057740789,62,26.584445929390807
143,16,84,91,106.02595659157465,58,0,36,22,10,1832,1351,12.024281368661923,131,6.8886577130283015
144,21,90,90,78.80552257845311,69,0,48,21,0,2155,1212,20.97441872209725,132,25.119183744346092
145,0,3,43,43.27747914696019,3,0,3,0,0,2463,1354,0.6551724137931034,149,0.6551724137931034
146,2,11,311,307.28769326683295,9,0,3,6,0,2460,79,2.12,54,3.6000000000000005
147,8,28,42,35.33739653527493,20,0,17,3,0,2062,2937,4.2329323487119135,152,6.876754102786335
148,259,1106,639,263.39422804435554,840,27,401,412,7,1845,1889,228.97578994580078,21,365.5904245878155
149,9,18,0,0,4,0,2,2,5,2501,1351,0,134,2.5200000000000005
150,13,31,338,330.1943108315527,18,0,6,12,0,2501,1360,6.873290860083313,47,10.001298701298701
151,2,14,87,69.07519186127881,12,0,9,3,0,2463,750,2.980296756383713,133,9.691304347826087
152,14,31,155,157.68866531318145,17,0,9,8,0,2439,80,3.5461827956989245,106,2.88
153,12,44,157,157.8271026018649,32,0,17,15,0,2439,2937,8.720750575213058,105,8.571062517521728
154,77,197,368,271.3021385684766,120,3,48,69,0,2062,971,36.23244156786449,43,71.58143322835943
155,78,256,224,157.24506134569555,167,5,89,73,11,2062,619,47.60271605072835,81,72.0487432907445
156,84,244,339,181.39906213798554,155,3,77,75,5,1838,567,39.11566641948788,46,96.7063729454437
157,123,435,341,132.38651908586309,300,9,180,111,12,1853,1275,97.82054068687958,45,173.78270906039245
158,3,5,0,0,0,0,0,0,2,3107,1351,0,1000,0
159,10,41,186,179.7305220654715,31,1,15,15,0,3160,2937,10.215522065471509,92,12.661230466346748
160,72,378,277,133.4389487419391,304,4,174,126,2,2501,674,75.90620604152195,65,128.25368638169147
161,69,395,291,185.55697761469827,320,5,164,151,6,2501,657,86.06902082420073,61,124.70423519429903
162,112,141,566,559.1310176129216,24,1,5,18,5,3107,338,5.350243902439024,23,7.90202626641651
163,9,21,1731,1738.3909405940594,9,0,0,9,3,2450,1351,2.89,5,0.5
164,147,368,293,303.59652742309447,218,4,91,123,3,1835,338,96.91357774371183,60,93.29073391739814
165,100,393,309,173.86370030783976,290,5,156,129,3,2062,2318,89.19232491773721,56,138.68947175766078
166,153,501,229,112.84589045860517,344,1,224,119,4,2463,733,113.6639276569519,80,156.0653778307069
167,163,553,168,258.3050022461422,380,3,194,183,10,2463,539,165.3112908980062,99,132.7164880753046
168,12,30,322,329.2798294952788,18,0,6,12,0,2062,80,5.963809523809524,52,3.32
169,3,9,178,175.615,6,0,3,3,0,2501,80,1.71,93,2.88
170,0,0,0,0,0,0,0,0,0,1842,131,0,1000,0
171,5,23,44,40.57612211476137,13,0,11,2,5,3160,1351,1.7718381847030904,146,3.020315935801845
172,0,3,690,697.9469801980198,3,0,0,3,0,2001,2046,2.8,18,0
173,4,10,21,23.6263710271242,6,0,6,0,0,2062,79,1.3023909985935302,165,0.5555555555555556
174,4,17,19,16.64918072746175,8,0,8,0,5,2062,1351,0.8670886075949368,167,1.8670886075949369
175,134,410,324,201.27035421933812,269,3,133,133,7,3160,81,74.73035421933814,50,119.41903168787242
176,13,46,301,298.5459432944161,33,0,12,21,0,2501,2937,5.825220773278427,59,6.805299806576402
177,11,25,101,106.01056844122061,14,0,9,5,0,1838,80,4.675638371290545,126,2.8840579710144922
178,4,13,98,99.33699001426533,9,0,6,3,0,3160,80,1.775,128,1.5666666666666664
179,83,410,123,88.60363713227702,321,1,218,102,6,2076,879,99.83346864681972,118,112.49603281054195
180,1,1,0,0,0,0,0,0,0,1853,130,0,1000,0
181,3,24,117,139.57403837581177,21,0,12,9,0,1960,79,9.697612549524314,121,1.755686274509804
182,8,25,2957,2950.352227722772,17,1,0,16,0,2463,80,1.1800000000000002,1,3.8800000000000003
183,55,428,264,107.74130019138613,369,2,242,125,4,2076,896,119.66709213410454,67,176.7468284953436
184,3,20,52,52.77104218474476,17,2,12,3,0,1845,276,4.261764705882353,144,4.123529411764705
185,5,30,53,67.78796077959596,25,2,17,6,0,1972,80,7.173024633010743,143,1.8833333333333333
186,5,17,170,176.6198128342246,12,0,6,6,0,2450,2937,3.814812834224599,98,1.675686274509804
187,157,527,543,188.00783028031722,368,0,200,168,2,2450,297,117.75214076238277,25,246.8843404946875
188,14,53,158,156.35339949636878,39,0,21,18,0,2450,2254,13.251193680830376,104,13.862206699231843
189,1,7,29,23.40999012954077,6,0,6,0,0,3170,80,1.101010101010101,161,3.3030303030303028
190,3,17,57,71.17491674991675,12,0,9,3,2,1842,1351,5.065021645021646,142,0
191,1,10,96,100.72133211952848,9,0,6,3,0,2076,2937,3.174342105263158,129,1.75
192,9,15,23,23.68343948799013,6,0,6,0,0,1842,2937,1.3344594594594597,163,1.3783783783783785
193,11,50,390,391.62604300200815,39,0,12,27,0,2501,691,17.51817213344547,41,16.933170731707314
194,4,13,129,99.95479471323742,9,0,6,3,0,2001,2937,2.3928046989720997,114,13.19016152716593
195,5,38,160,152.25366559806326,33,0,18,15,0,2450,80,11.850709259294163,102,14.971245358415167
196,2,8,178,175.52190476190478,6,0,3,3,0,2076,79,1.621904761904762,94,2.58
197,3,12,13,15.30302092865118,9,0,9,0,0,3170,2937,1.9956782713085235,169,1.4693877551020407
198,6,27,129,136.7300706913108,21,0,12,9,0,2076,1351,6.838644865023322,115,4.255172413793104
199,146,577,260,166.57509805710876,425,3,257,165,6,2450,278,158.84078020121171,70,192.87008516724958
200,3,15,450,439.15735623063557,12,0,3,9,0,1972,618,2.716969696969697,32,7
201,9,9,0,0,0,0,0,0,0,1838,538,0,1000,0
202,5,33,124,90.48183177356425,28,1,18,9,0,1838,595,5.987962757257049,117,18.23485704368953
203,5,8,712,696.3519801980198,3,0,0,3,0,1853,1317,1.1800000000000002,12,7.08
204,22,92,160,137.9610254167252,70,1,39,30,0,3160,130,17.666184127047607,103,25.910565130417964
205,312,981,840,186.5364207362383,634,8,328,298,35,3160,98,150.44838253071265,9,388.4157451709441
206,8,11,44,43.27014987042199,3,0,3,0,0,3107,79,0.6078431372549019,147,1.2156862745098038
207,1,13,2248,2264.0429207920793,12,0,0,12,0,2062,877,8.45,3,2.83
208,0,7,21,23.4750110481086,6,0,6,0,1,2062,11669,1.1660310195779302,166,0.5169082125603864
209,5,11,175,174.72150306748466,6,0,3,3,0,2439,970,0.8065030674846625,96,1.193006134969325
210,3,18,245,254.55751279999356,15,0,6,9,0,1832,80,6.524502814258912,74,3.073170731707317
211,18,57,323,276.9317924783155,39,0,15,24,0,2460,732,7.980777487684697,51,24.82680854921695
212,8,17,92,102.73821390733131,9,0,6,3,0,2013,80,5.156223893065999,130,1.4210526315789473
